Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)	GO Term Accession	GO Term Name	GO Term Evidence Code	GO domain	GO Term Definition
RP11-307N16.6	13	24553839	24895169	GO:0005515	protein binding	IEA	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
SPATA13	13	24553944	24881212	GO:0030676	Rac guanyl-nucleotide exchange factor activity	IMP	molecular_function	"Stimulates the exchange of guanyl nucleotides associated with a GTPase of the Rac family. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase." [GOC:mah]
SPATA13	13	24553944	24881212	GO:0046847	filopodium assembly	IMP	biological_process	"The assembly of a filopodium, a thin, stiff protrusion extended by the leading edge of a motile cell such as a crawling fibroblast or amoeba, or an axonal growth cone." [GOC:dph, GOC:mah, GOC:tb, PMID:16337369, PMID:18464790]
SPATA13	13	24553944	24881212	GO:0016477	cell migration	IMP	biological_process	"The orderly movement of a cell from one site to another, often during the development of a multicellular organism or multicellular structure." [GOC:ems, GOC:pf]
SPATA13	13	24553944	24881212	GO:0030032	lamellipodium assembly	IMP	biological_process	"Formation of a lamellipodium, a thin sheetlike extension of the surface of a migrating cell." [GOC:mah, ISBN:0815316194]
SPATA13	13	24553944	24881212	GO:0030175	filopodium	IDA	cellular_component	"Thin, stiff protrusion extended by the leading edge of a motile cell such as a crawling fibroblast or amoeba, or an axonal growth cone; usually approximately 0.1 um wide, 5-10 um long, can be up to 50 um long in axon growth cones; contains a loose bundle of about 20 actin filaments oriented with their plus ends pointing outward." [GOC:mah, ISBN:0815316194]
SPATA13	13	24553944	24881212	GO:0030334	regulation of cell migration	IMP	biological_process	"Any process that modulates the frequency, rate or extent of cell migration." [GOC:go_curators]
SPATA13	13	24553944	24881212	GO:0032587	ruffle membrane	IDA	cellular_component	"The portion of the plasma membrane surrounding a ruffle." [GOC:mah]
SPATA13	13	24553944	24881212	GO:0030027	lamellipodium	IDA	cellular_component	"A thin sheetlike process extended by the leading edge of a crawling fibroblast; contains a dense meshwork of actin filaments." [ISBN:0815316194]
SPATA13	13	24553944	24881212	GO:0035023	regulation of Rho protein signal transduction	IEA	biological_process	"Any process that modulates the frequency, rate or extent of Rho protein signal transduction." [GOC:bf]
SPATA13	13	24553944	24881212	GO:0005085	guanyl-nucleotide exchange factor activity	IMP	molecular_function	"Stimulates the exchange of guanyl nucleotides associated with a GTPase. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase." [GOC:kd, GOC:mah]
SPATA13	13	24553944	24881212	GO:0005089	Rho guanyl-nucleotide exchange factor activity	IEA	molecular_function	"Stimulates the exchange of guanyl nucleotides associated with a GTPase of the Rho family. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase." [GOC:mah]
SPATA13	13	24553944	24881212	GO:0005737	cytoplasm	IDA	cellular_component	"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures." [ISBN:0198547684]
SPATA13	13	24553944	24881212	GO:0005515	protein binding	IPI	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
SPATA13	13	24553944	24881212	GO:0005634	nucleus	IDA	cellular_component	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent." [GOC:go_curators]
SPATA13	13	24553944	24881212	GO:0005515	protein binding	IEA	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
SPATA13	13	24553944	24881212					
XKR3	22	17264302	17302589	GO:0005886	plasma membrane	IEA	cellular_component	"The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins." [ISBN:0716731363]
XKR3	22	17264302	17302589	GO:0016021	integral to membrane	IEA	cellular_component	"Penetrating at least one phospholipid bilayer of a membrane. May also refer to the state of being buried in the bilayer with no exposure outside the bilayer. When used to describe a protein, indicates that all or part of the peptide sequence is embedded in the membrane." [GOC:go_curators]
PTCHD3	10	27687116	27703297	GO:0008158	hedgehog receptor activity	IEA	molecular_function	"Combining with a member of the hedgehog protein family and transmitting the signal across the membrane to initiate a change in cell activity." [GOC:bf, GOC:go_curators, PMID:9278137]
PTCHD3	10	27687116	27703297	GO:0007286	spermatid development	NAS	biological_process	"The process whose specific outcome is the progression of a spermatid over time, from its formation to the mature structure." [GOC:dph, GOC:go_curators]
PTCHD3	10	27687116	27703297	GO:0016020	membrane	IEA	cellular_component	"Double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins." [GOC:mah, ISBN:0815316194]
PTCHD3	10	27687116	27703297	GO:0005575	cellular_component	ND	cellular_component	"The part of a cell or its extracellular environment in which a gene product is located. A gene product may be located in one or more parts of a cell and its location may be as specific as a particular macromolecular complex, that is, a stable, persistent association of macromolecules that function together." [GOC:go_curators]
PTCHD3	10	27687116	27703297	GO:0003674	molecular_function	ND	molecular_function	"Elemental activities, such as catalysis or binding, describing the actions of a gene product at the molecular level. A given gene product may exhibit one or more molecular functions." [GOC:go_curators]
PTCHD3	10	27687116	27703297	GO:0016021	integral to membrane	IEA	cellular_component	"Penetrating at least one phospholipid bilayer of a membrane. May also refer to the state of being buried in the bilayer with no exposure outside the bilayer. When used to describe a protein, indicates that all or part of the peptide sequence is embedded in the membrane." [GOC:go_curators]
PARP4	13	24995064	25086948	GO:0005876	spindle microtubule	IDA	cellular_component	"Any microtubule that is part of a mitotic or meiotic spindle; anchored at one spindle pole." [ISBN:0815316194]
PARP4	13	24995064	25086948	GO:0003950	NAD+ ADP-ribosyltransferase activity	IDA	molecular_function	"Catalysis of the reaction: NAD+ + (ADP-D-ribosyl)(n)-acceptor = nicotinamide + (ADP-D-ribosyl)(n+1)-acceptor." [EC:2.4.2.30]
PARP4	13	24995064	25086948	GO:0008219	cell death	IMP	biological_process	"Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as \"apoptotic bodies\"); and/or (3) its corpse (or its fragments) have been engulfed by an adjacent cell in vivo." [GOC:mah, GOC:mtg_apoptosis]
PARP4	13	24995064	25086948	GO:0006471	protein ADP-ribosylation	NAS	biological_process	"The transfer, from NAD, of ADP-ribose to protein amino acids." [GOC:pr, RESID:AA0040, RESID:AA0168, RESID:AA0169, RESID:AA0231, RESID:AA0237, RESID:AA0295]
PARP4	13	24995064	25086948	GO:0030529	ribonucleoprotein complex	NAS	cellular_component	"A macromolecular complex containing both protein and RNA molecules." [GOC:krc]
PARP4	13	24995064	25086948	GO:0006810	transport	NAS	biological_process	"The directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or pore." [GOC:dph, GOC:jl, GOC:mah]
PARP4	13	24995064	25086948	GO:0006281	DNA repair	NAS	biological_process	"The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway." [PMID:11563486]
PARP4	13	24995064	25086948	GO:0042493	response to drug	NAS	biological_process	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a drug stimulus. A drug is a substance used in the diagnosis, treatment or prevention of a disease." [GOC:jl]
PARP4	13	24995064	25086948	GO:0019899	enzyme binding	IDA	molecular_function	"Interacting selectively and non-covalently with any enzyme." [GOC:jl]
PARP4	13	24995064	25086948	GO:0006464	cellular protein modification process	IDA	biological_process	"The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications) occurring at the level of an individual cell. Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)." [GOC:go_curators]
PARP4	13	24995064	25086948	GO:0006974	cellular response to DNA damage stimulus	NAS	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism." [GOC:go_curators]
PARP4	13	24995064	25086948	GO:0003677	DNA binding	TAS	molecular_function	"Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)." [GOC:dph, GOC:jl, GOC:tb, GOC:vw]
PARP4	13	24995064	25086948	GO:0006954	inflammatory response	IMP	biological_process	"The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages." [GO_REF:0000022, GOC:mtg_15nov05, ISBN:0198506732]
PARP4	13	24995064	25086948	GO:0005737	cytoplasm	IDA	cellular_component	"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures." [ISBN:0198547684]
PARP4	13	24995064	25086948	GO:0005515	protein binding	IPI	molecular_function	"Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)." [GOC:go_curators]
PARP4	13	24995064	25086948	GO:0005634	nucleus	NAS	cellular_component	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent." [GOC:go_curators]
OAS1	12	113344582	113369990	GO:0060700	regulation of ribonuclease activity	IDA	biological_process	"Any process that modulates the rate, frequency, or extent of ribonuclease activity, catalysis of the hydrolysis of phosphodiester bonds in chains of RNA." [GOC:dph, GOC:tb]
OAS1	12	113344582	113369990	GO:0001730	2'-5'-oligoadenylate synthetase activity	IDA	molecular_function	"Catalysis of the reaction: ATP = pppA(2'p5'A)n oligomers. This reaction requires the binding of double-stranded RNA." [ISBN:0198506732]
OAS1	12	113344582	113369990	GO:0060337	type I interferon signaling pathway	TAS	biological_process	"A series of molecular signals initiated by the binding of a type I interferon to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription. Type I interferons include the interferon-alpha, beta, delta, episilon, zeta, kappa, tau, and omega gene families." [GOC:add, GOC:dph, GOC:signaling, PR:000025848]
OAS1	12	113344582	113369990	GO:0035457	cellular response to interferon-alpha	IDA	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-alpha stimulus. Interferon-alpha is a type I interferon." [GOC:sl]
OAS1	12	113344582	113369990	GO:0051259	protein oligomerization	IDA	biological_process	"The process of creating protein oligomers, compounds composed of a small number, usually between three and ten, of component monomers; protein oligomers may be composed of different or identical monomers. Oligomers may be formed by the polymerization of a number of monomers or the depolymerization of a large protein polymer." [GOC:ai]
OAS1	12	113344582	113369990	GO:0060333	interferon-gamma-mediated signaling pathway	TAS	biological_process	"A series of molecular signals initiated by the binding of interferon-gamma to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription." [GOC:add, GOC:dph, GOC:signaling, PR:000000017]
OAS1	12	113344582	113369990	GO:0006164	purine nucleotide biosynthetic process	IDA	biological_process	"The chemical reactions and pathways resulting in the formation of a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar." [GOC:go_curators, ISBN:0198506732]
OAS1	12	113344582	113369990	GO:0051607	defense response to virus	IEA	biological_process	"Reactions triggered in response to the presence of a virus that act to protect the cell or organism." [GOC:ai]
OAS1	12	113344582	113369990	GO:0019221	cytokine-mediated signaling pathway	TAS	biological_process	"A series of molecular signals initiated by the binding of a cytokine to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription." [GOC:mah, GOC:signaling, PMID:19295629]
OAS1	12	113344582	113369990	GO:0045071	negative regulation of viral genome replication	IDA	biological_process	"Any process that stops, prevents, or reduces the frequency, rate or extent of viral genome replication." [GOC:go_curators]
OAS1	12	113344582	113369990	GO:0016779	nucleotidyltransferase activity	IEA	molecular_function	"Catalysis of the transfer of a nucleotidyl group to a reactant." [ISBN:0198506732]
OAS1	12	113344582	113369990	GO:0006955	immune response	IEA	biological_process	"Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat." [GO_REF:0000022, GOC:add, GOC:mtg_15nov05]
OAS1	12	113344582	113369990	GO:0009615	response to virus	IDA	biological_process	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a virus." [GOC:hb]
OAS1	12	113344582	113369990	GO:0003725	double-stranded RNA binding	IDA	molecular_function	"Interacting selectively and non-covalently with double-stranded RNA." [GOC:jl]
OAS1	12	113344582	113369990	GO:0005783	endoplasmic reticulum	IEA	cellular_component	"The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)." [ISBN:0198506732]
OAS1	12	113344582	113369990	GO:0016740	transferase activity	IEA	molecular_function	"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2." [ISBN:0198506732]
OAS1	12	113344582	113369990	GO:0005829	cytosol	TAS	cellular_component	"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes." [GOC:hgd, GOC:jl]
OAS1	12	113344582	113369990	GO:0046872	metal ion binding	IEA	molecular_function	"Interacting selectively and non-covalently with any metal ion." [GOC:ai]
OAS1	12	113344582	113369990	GO:0005739	mitochondrion	IEA	cellular_component	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration." [ISBN:0198506732]
OAS1	12	113344582	113369990	GO:0005576	extracellular region	IEA	cellular_component	"The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite." [GOC:go_curators]
OAS1	12	113344582	113369990	GO:0005737	cytoplasm	IDA	cellular_component	"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures." [ISBN:0198547684]
OAS1	12	113344582	113369990	GO:0005524	ATP binding	TAS	molecular_function	"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator." [ISBN:0198506732]
OAS1	12	113344582	113369990	GO:0008270	zinc ion binding	IDA	molecular_function	"Interacting selectively and non-covalently with zinc (Zn) ions." [GOC:ai]
